Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	178	6.033314099504242	94.26350940044352	6.838503208150826E-9
NP,UP,UP	(0,2,activation)(2,1,activation)	3964	1622.8748141483743	484866.5204560696	0.0033671095116195593
NP,UP,PP	(0,2,activation)(1,2,inhibition)	3260	1754.6262108219735	340050.36670497386	0.012015348654921154
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	76	8.37115860989383	107.19433225462252	2.8371051577436024E-4
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	2	133.97999596265169	5427.873725671598	0.9973965110039991
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	120	0.7453827812073288	21.906420099996513	1.6542576629863248E-5
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	422	155.3749781842634	2622.427545682851	3.1290375974601936E-5
NP,NP,NP	(0,2,activation)(1,2,activation)	15966	12378.56560838718	5398645.182064146	0.06809516668648508
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	7.573912651735524	113.66939998884979	4.031552869321331E-12
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	6.203331685349213	11.883375521724048	0.9443904094040118
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	51	1090.5045895790172	1537967.153031227	0.7631442540879876
PP,UP,PP	(0,2,inhibition)(2,1,activation)	93	635.3648374931805	111790.33025393658	0.983506733915829
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1	13.234627162546154	1300.217125612208	0.22998827183790205
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	32	29.449101903684998	472.9320651102229	0.3741117177254588
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	141	316.8386988309105	13440.479979265743	0.9555328222837537
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.4699684971719136	31.437776161776863	0.008056834614876607
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.05458108552933875	0.11270606219806602	0.01256159599717821
NP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,0,inhibition)(2,1,activation)	2	0.003319039010054942	0.004105154665398142	3.405832881775428E-5
UP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.03406590014264394	0.04166502597908381	0.003442626134146809
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	195	0.7885761148094781	4.606475299439037	7.771561172376096E-16
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	7	0.27774645160962136	1.5408117736689362	0.007188758494470426
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	9	8.181964572316161	111.003609857297	0.3237468816667899
