Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	18	0.09274402945799966	0.21454009260068482	6.237521388285927E-9
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	346	125.30772676002715	2370.43211887699	2.4367750878362404E-4
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	3.2738487531719653	35.33453710568636	0.3720108892905898
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	205	565.9293876411854	394852.5878313252	0.6259296573838318
UP,NP,NP	(0,2,inhibition)(2,1,activation)	19129	7028.23234505479	2737010.7207029164	1.3005962418155548E-8
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3776	1348.1150092035493	1669895.6735893125	0.055502233107575405
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1108	66.02216992848386	6009.764067985636	3.117333913227327E-8
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1299	5279.585735873391	1384549.7860927396	0.9999955825013606
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	0.9003927834190742	6.713920339578844	1.6718626483225307E-11
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	12367	14745.227416515792	7.797677960989144E7	0.5485619558452028
PP,PP,UP	(0,2,activation)(2,1,activation)	2529	383.801741875895	23403.01315040677	0.0
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	45	68.06473671711123	7089.979260029886	0.46659262529816203
PP,NP,UP	(0,2,activation)(2,1,activation)	5773	1424.7650158327049	260893.169192845	5.536316516341344E-9
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	95.79704319948183	1427.886173237226	0.9999487745789061
PP,NP,UP	(0,2,activation)(2,1,inhibition)	875	432.40799263684306	87230.24488556708	0.08334726098770695
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	8.825151166086869	19.311813159971607	0.8410838367207487
PP,UP,NP	(0,2,activation)(2,1,activation)	3420	1896.6600921618312	243034.05717752036	0.0035233595605644874
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	54	6.652014038697511	34.58489617021794	6.620628756226488E-6
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	0.9935942782314533	10.5859539748413	0.11129167394346717
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	3.844808119679974	450.0286528836161	0.0600118024254207
PP,PP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	264	0.006035011910206773	0.010137691786667995	6.661338147750939E-16
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	27	6.630849678223271	156.40880808768426	0.0723393620377224
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	148	14.999478828888542	78.75887136198605	8.915090887740007E-14
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	43	20.883445067330946	6930.18949799507	0.09246687529897502
UP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	1	2.87711355383455	18.11152891943949	0.447339806937499
UP,NP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	3	240.62099993004938	116857.48459816222	0.6234839901553377
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	4.572582943539713	186.4003965152063	0.18016459353631153
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	22	32.60456431292875	1317.1590855562554	0.48985958649064076
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	16	2.1331805591559947	32.546984368804026	0.03695984912759975
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.237461894765281	20.67925840203174	0.010520410463180974
NP,PP,UP	(0,1,activation)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.19327971017206366	0.6712260842570528	0.027069682185734578
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3963	7953.630161595124	1.1453437217104979E7	0.8952534246369583
NP,NP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,activation)	8	0.8340748783564674	13.05338123597512	0.03611968957125855
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	688	989.1362917514534	991378.6514843645	0.5147658816391404
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	62	672.6445374070574	101345.96234225354	0.9968315419931741
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1475	129.2056456372138	22602.90772183982	1.1107228019668902E-5
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	10	3.6633931241539797	74.06955157400418	0.12785606732752997
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4442	1895.6427693177304	405147.0168185062	6.199356643219467E-4
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.1372426674899822	0.6105276216928124	0.013003512942578288
UP,UP,PP	(0,1,inhibition)(1,2,inhibition)(2,0,inhibition)	1	0.7180664862522221	1.4920239084340179	0.1827249519417562
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1851	4441.978721807154	3461820.6930046715	0.9407845582446392
NP,UP,UP	(0,2,activation)(1,2,activation)	16541	102162.1285803541	2.4771773714835033E9	0.9881988692397042
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	80	3.097933164642904	6.216731201940055	5.551115123125783E-16
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	14.201415279088991	2606.7300686646613	0.13839499845789727
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	208	22.765877056042644	730.7155895579374	1.722529288814556E-4
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2288	370.0298704311846	146914.0457721531	0.0012113078702810087
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	14	28.838870098862397	534.2778546828968	0.6841726229181807
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	37	11.998239615774716	133.05804942024042	0.037458702843802594
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	62	0.8980904573655853	6.875757756880532	7.042196037421178E-8
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	6	0.3293652351673844	1.575922985460062	0.010012769728845239
PP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	660	0.004248420825175056	0.004713195895449207	0.0
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	10	10.795109071846742	244.65693516696328	0.34691448816382653
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	10	12.712017697373065	1990.9474319904114	0.13243183464214225
PP,PP,PP	(0,2,activation)(1,2,activation)	1320	323.9350338951659	10156.604919947378	1.9858892308377563E-11
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.058380962015867434	0.12488508141704788	0.01367962285863733
NP,UP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	30	2.8942751707710186	26.976845349531295	0.0029415831381217616
NP,PP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	6	0.0171995769888996	0.019078637159501904	6.678962938266864E-10
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)	1376	2382.3715155661225	1173629.2917842139	0.8221446502693333
NP,UP,PP	(0,2,inhibition)(1,2,activation)	652	1021.0102625968357	197566.05526677053	0.787801598935902
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.6973505523873165	13.248517838972214	0.47454687830675946
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	24.82135678680604	163.93124339959093	0.9862524681633402
UP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	3	1.0817247110677852	1.8615186629115452	0.06312557495206694
PP,UP,PP	(0,2,activation)(2,1,activation)	1197	391.7286906159921	16189.281753379968	1.5110086593050909E-6
PP,UP,PP	(0,2,activation)(2,1,inhibition)	2189	609.3646934730953	269024.9366339544	0.011943684589064474
PP,UP,UP	(0,2,inhibition)(2,1,activation)	3589	1030.2108510622265	216671.4483596685	4.4686476642574746E-5
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	56	8.305093627018422	303.6321817152716	0.03009197986202916
PP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	1	3.396388451912906	46.32139949102961	0.331397861316685
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	4	1.8324123564863661	2.610633815077398	0.06817098410065359
NP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	18	5.1516449252153995	83.06703833388755	0.08690251016158856
PP,UP,UP	(0,2,inhibition)(2,1,inhibition)	59	1016.8174659776148	227960.93038643105	0.9986577190191992
NP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	116	2.87711355383455	15.212421765742906	6.661338147750939E-16
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	8	2.84177573773337	42.523339272300376	0.123525651977335
NP,UP,PP	(0,1,inhibition)(1,2,activation)(2,0,inhibition)	12	0.9243677483725357	2.774706886565046	5.988526285997109E-4
UP,UP,UP	(0,2,activation)(2,1,activation)	9976	3758.645074145748	2617057.838640362	0.0013163946059483456
NP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	28	24.26357933155446	1106.6662645878973	0.31375216916227655
NP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	1	0.7346561187088437	13.919433120251513	0.06415244848196244
UP,UP,NP	(0,2,activation)(2,1,activation)	21651	10764.320265757646	6284052.716822639	1.3598503076384105E-4
UP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	2	8.323873381891588	1486.7817671468747	0.08664798599145696
UP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	404	134.88788257091718	1309.1997863044708	1.7951389486015046E-8
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.589539579692582	4.291382317221759	0.0946305309091372
