Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	199	6.420622399563138	66.14952325874395	9.792167077193881E-14
NP,UP,UP	(0,2,activation)(1,2,activation)	28048	99003.94183576325	2.322833412893923E9	0.9603370064643467
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	18	0.3700474115052274	0.5327835054247188	3.233191492313381E-12
NP,UP,PP	(0,2,inhibition)(2,1,activation)	189	562.4744179731675	62002.59689317818	0.959946178823205
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	2.48948848182541	42.36878515110957	0.02078004648731946
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.11543525135227657	0.15477118878236565	0.01756547795987906
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	93	0.3190572608501421	0.521337336594841	0.0
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	6069	1879.00106014553	1498942.3730278271	0.005110294479282351
NP,NP,PP	(0,2,activation)(1,2,activation)	2624	8330.00740415241	2906707.024128929	0.9999877450483968
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	7.233946638801451	108.9317788731458	3.4494629375103614E-12
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	5	7.129736760931332	248.71991029499083	0.2598528858412158
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	95	99.45894343033231	27785.954757770778	0.31668009078233617
PP,UP,PP	(0,2,inhibition)(2,1,activation)	88	152.75934408070472	8570.58539149765	0.7295794350186836
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	3	7.765485504967787	67.87993885205165	0.6063516638073364
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	58	23.415227625335312	219.4317032912237	0.02483744246638775
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1452	96.71459488541424	18671.233431617824	1.112760163324289E-5
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.19354606748075148	0.9817574379220892	0.028640483780369763
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.2635346736031302	1.3285051805062422	0.01818379350131094
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	180	0.9436799079197726	1.973029404291836	1.1102230246251565E-16
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	30	113.74306259508411	7155.410702535959	0.8486343749216619
