Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	5.017105868340062	62.33450472724322	0.4258813860032694
PP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	0.540462139056043	1.2748549939470912	0.06677483038958032
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.4230798806734917	2.2342479293707953	0.08854757270010838
UP,PP,PP	(0,2,inhibition)(2,1,activation)	4230	1420.5523657939013	187788.39737313986	7.345687756954433E-7
UP,PP,PP	(0,2,inhibition)(2,1,inhibition)	1077	269.49043177857806	16893.184027247204	1.1727397079441815E-5
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1	10.755669453738046	581.5839143269866	0.3137520834009988
PP,PP,UP	(2,1,inhibition)(2,0,activation)	295	1176.941492180616	125106.87908572354	0.999348937801873
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	3.931161537777867	200.70326004784286	0.11278530300264678
PP,PP,UP	(2,1,inhibition)(2,0,inhibition)	6171	7666.38082234614	1.8807452661672994E7	0.5838854906270936
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	9	17.268411404567836	289.72596200656477	0.5871252679897432
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	15	0.0026542556521596994	0.0027211586334784914	3.3306690738754696E-16
NP,NP,UP	(0,2,activation)(2,1,activation)	9553	3365.5956858192835	1175958.0760383178	8.079369182012464E-6
NP,NP,UP	(0,2,activation)(2,1,inhibition)	1521	936.6720898654846	457595.74212735647	0.17807916201158303
NP,PP,UP	(0,2,activation)(2,1,activation)	3523	1453.7528228573126	260090.2206029971	5.882353730548573E-4
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	45.401786788034066	1132.8721112477801	0.9439240816671791
NP,PP,UP	(0,2,activation)(2,1,inhibition)	741	710.671602035815	268804.474037511	0.4037964776934787
UP,PP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	2.559571389195367	171.03851758087947	0.06668201729824019
NP,UP,PP	(0,2,activation)(2,1,activation)	2094	1754.6598752018492	328170.1136638345	0.2593408364997615
UP,NP,NP	(0,1,activation)(1,2,activation)(2,0,inhibition)	6	11.416578282629798	85.5625243104079	0.6425348267092537
NP,NP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,activation)	8	0.16670745657569863	0.20896368718825056	5.791699686508167E-8
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	55	0.29604124512265245	18.746443366859904	0.0016257482649530974
PP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	36	4.512035255959311	105.54958781755906	0.023774973383724918
NP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	4	14.702073566905588	199.59696955551834	0.7203581143306487
UP,PP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	2	0.332092742262877	1.3014614499332229	0.04856057928638413
UP,PP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	2	0.6235769685316463	0.8823819020984	0.04975805573112724
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	4.449557981621958	354.72046052881524	0.09955083100685902
NP,NP,NP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	30	0.36366393134535685	1.531791818058584	1.877652917592343E-7
PP,PP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	9	2.4762913648741947	20.491460805198138	0.08016641674156233
PP,PP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	8	0.2591389780825384	1.4313511425808638	0.004671627708092152
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	1420	1221.0314028926643	186214.72812989564	0.2979744052846739
