Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	188	5.618173464989722	92.26557693505421	3.97690991249533E-9
NP,UP,UP	(0,2,activation)(1,2,activation)	15607	90651.20478832965	1.9385990801550465E9	0.986875443147255
NP,UP,PP	(0,2,activation)(1,2,inhibition)	2956	1693.8045079958058	357129.433968897	0.02888854556360254
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	1	0.01564117279951471	0.017760900830738616	0.00102234241383925
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	2	122.06375798359021	4768.309061478396	0.9962986826251594
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	35	6.743677200551247	450.20132562724774	0.06994775821469268
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	120	0.7809240747373315	28.818461090533624	6.90244149544883E-5
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	426	146.22696586057012	2423.3165898677107	9.772676551111914E-6
NP,NP,NP	(0,2,activation)(1,2,activation)	18561	14523.4778385923	7042202.639057457	0.07058728117534574
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	7.95749084126587	119.16967790817101	4.962030786259675E-12
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	6.363288368680323	12.286602099712312	0.9484516051480416
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	60	1136.7297309717121	1618589.0750430673	0.7701803011911419
PP,UP,PP	(0,2,inhibition)(2,1,activation)	88	590.5099048565543	101000.05995720066	0.9804404431228898
UP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	13	4.66118211313835	121.37806234775034	0.12650208735333557
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	32	30.20846492125805	494.39627244442374	0.3874662459272026
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	373	26.808121327250188	442.05743388873316	7.91033905045424E-13
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.4492595586473552	30.03887798071769	0.00770444356107558
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.05598849204195585	0.1171386727078604	0.01297588178369058
NP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,0,inhibition)(2,1,activation)	2	0.0032877636272881693	0.004135977945622683	3.882114270492565E-5
UP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.034808871153295944	0.04259302680036957	0.0035315465498946264
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	195	0.8083937583191085	5.62825254662311	2.220446049250313E-16
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	7	0.2825390554374439	1.7448151794249622	0.008523888635127763
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	9	6.992720159199318	92.62808015072883	0.2779595859306391
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	1	4.624166796127388	39.19684048121901	0.5455375172257693
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	12	15.689329245838655	9127.969893331592	0.050355035161538275
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	1237	27.345079150908436	1475.9205726806404	1.6653345369377348E-14
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	12.977333372784521	951.3700019887848	0.2691547272642091
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	212	0.7594915412646389	1.1622774730031427	0.0
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	50	328.5575019239265	27640.64265842337	0.9862021108732164
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	14	1.5707374765276176	24.493183818686134	0.03387446859226895
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	536	562.3407527864063	69690.71079630236	0.4916796456603254
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	72	0.005560955753210207	0.005955949158391096	3.3306690738754696E-16
NP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	9	0.08720953257471145	0.12576819180123452	4.579011625427398E-8
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	360	2.6568252306974682	54.21864002605551	2.1094237467877974E-15
