Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	7965	7.961562901973326	1449.0307138175742	5.773159728050814E-15
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	37	4.744991827103879	118.99941976765938	0.025902246072780466
NP,UP,UP	(2,1,activation)(2,0,inhibition)	741	2181.8167064422846	396104.7062540017	0.9974255583947835
NP,UP,PP	(0,2,inhibition)(2,1,activation)	188	191.35158808671773	6234.315513265145	0.4728847273345561
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	97	2.4579485736276796	10.925178025646321	1.1102230246251565E-16
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	10	4.318298190231853	806.3248623089258	0.04049697297287835
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	144	6.8856154780868	127.35513495292872	2.6724864299332296E-6
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	63	0.23699157249645925	0.4708251687208153	1.1102230246251565E-16
NP,NP,UP	(0,2,activation)(2,1,activation)	1287	1154.3659344985076	173974.86787287332	0.3450087137860216
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	76	35.78176448135036	416.2432593787496	0.0409321022651612
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	32	4.72605132992558	73.91808129434226	0.019033281364509547
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	1.419075432667688	21.004660198702698	0.06147997844232278
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	128	1014.28091619667	1328598.4468998876	0.7243733772894754
PP,UP,PP	(0,2,inhibition)(2,1,activation)	211	878.2103626837064	174039.7699128805	0.9758672301888993
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	516	31.08736923842162	601.5477668676697	0.0
UP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	10	0.667472977688361	81.30874005297864	0.009181977725844503
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	44	18.73957310434264	287.6736620595095	0.08363661104841325
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	57	226.77436123794396	28519.122036739995	0.8561351809812467
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	2	0.2318917713515878	0.9605965435681876	0.0340416066600292
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	2.2165576288230144	11.917702209080415	0.39223030293573236
UP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.036803927807803914	0.048527443419988374	0.004718842560407666
UP,PP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	4	0.02013396718031865	0.021137707275353555	2.22764461321745E-8
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	42	0.3216219527486733	0.42597655962319075	1.1102230246251565E-16
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	2	0.3124897927464695	1.0634698839250007	0.04405147177904267
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	342	21.47265298492809	374.6066931537171	7.358003095703225E-12
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	66	52.80062083710121	27458.40350809364	0.14590356799774862
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	5	22.028576151558415	771.6791912413073	0.6099613846962975
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	220	34.038101757435705	636.3531307496335	9.16750153767687E-6
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	2	0.2889666981756146	0.8298929425892576	0.03758117363165425
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	9	0.9660987114940404	1.2783285698697509	1.9934361381812593E-5
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	699	127.16134650569973	5740.928982977866	2.0022704350086684E-6
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	3	103.98416112494839	4924.775307391377	0.9788560667457634
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.059962155214256546	0.07375154112360151	0.0066508439067513025
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	507	528.8959730566226	55215.36537867732	0.4915470727625689
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	3.1857606713057804	21.001948658831083	0.4724297079039116
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	41	167.48522826873767	39000.46082937198	0.6473326070483604
NP,UP,NP	(0,2,inhibition)(2,1,activation)	152	228.317325185458	6357.4926587038935	0.828814355285802
NP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,activation)	4	0.7787927417552102	1.2005850315337612	0.010572935717779397
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	1456	1953.4922751958757	330270.038267497	0.8019905264081894
NP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,inhibition)	3	0.5040144524007693	0.793924219213608	0.013856176727759073
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)	997	770.1090568721652	75229.3751245694	0.19508683076859767
UP,UP,NP	(0,2,inhibition)(2,1,activation)	3861	2564.750857237009	496446.64951204695	0.04318448716619694
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	30	2.6052919047710748	4.727385400181732	4.0209768847887517E-10
NP,UP,NP	(0,2,activation)(2,1,activation)	2389	1356.9705518012843	199342.9528384616	0.019744176357952004
NP,UP,NP	(0,2,activation)(2,1,inhibition)	518	407.4529535304561	29062.10243563479	0.23845793278796257
NP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	6	0.07750717790126296	0.08353353454149759	4.610684722905489E-9
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	89	0.8732462927604943	2.6765388932124106	2.220446049250313E-16
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	12	0.21103889175050805	0.30790868441910724	4.623773031120493E-9
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	14	35.1775625511919	1694.560585022654	0.5812640129211537
NP,NP,PP	(0,2,activation)(2,1,inhibition)	789	1650.0654486126757	1199020.7297802432	0.7658562189546645
NP,NP,PP	(0,2,activation)(1,2,activation)	5866	5663.807731002784	1437133.3478605337	0.41288087972669263
UP,UP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	42	0.19768339049928504	0.37886973263785173	2.220446049250313E-16
UP,UP,NP	(0,2,activation)(2,1,activation)	12687	4653.202621415037	1774308.483828228	2.05983491863293E-6
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1290	1397.2013975944146	302892.643621156	0.5384765512694021
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	2113	95.04877644847772	5801.120337332706	2.2093438190040615E-14
UP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	11	4.756029068097315	47.62965012258441	0.1410495611635496
NP,NP,PP	(0,2,inhibition)(2,1,activation)	282	178.23234080084555	5244.514149926261	0.08603263112713444
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	175	115.34734574745342	20494.281987328977	0.2501605262198633
PP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	56	1.6755683561729635	4.061399578381038	1.1102230246251565E-16
PP,PP,PP	(0,2,inhibition)(2,1,activation)	1025	1419.3038602052334	428669.4367148336	0.6998493382664424
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	111	381.6229360266598	194599.80450289708	0.6381380158819758
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.41531911031511753	2.3404319097164104	0.06048705951288258
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	26.721295661445577	1138.692091947792	0.6117196407742203
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	5	0.012706418543778866	0.014697088553786538	3.351513100380288E-8
PP,NP,UP	(0,2,activation)(2,1,activation)	3320	1377.3913111520537	243706.74669502536	8.010821270171276E-4
PP,NP,UP	(0,2,activation)(2,1,inhibition)	1265	759.1901392322683	329257.5441716914	0.17374617384762026
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	8	18.462037545621946	597.8635682674881	0.5097233435509985
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	999	148.2753911931438	19009.438201380613	1.75369462980135E-4
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	51	20.00046742739131	308.01752651711246	0.060111620202392024
PP,NP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	17	2.1514923593046618	8.895790130302078	0.001923362390566563
PP,NP,UP	(0,2,inhibition)(2,1,activation)	3065	1590.8053245550227	359294.2153876801	0.01616495324772027
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	53	876.8196125981203	144811.0719811836	0.9994484864676004
NP,PP,UP	(0,2,activation)(0,1,inhibition)(1,0,activation)(2,1,inhibition)	2	0.0018807902161190727	0.0020070719471846406	2.022942304447106E-6
UP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	7.271382153221761	1312.8258503987747	0.07456244568643333
UP,PP,PP	(2,1,activation)(2,0,inhibition)	64818	3772.238730404474	1.2087030924946401E7	0.0
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	7.733795966894285	251.83755498314747	0.22784468571113814
PP,PP,NP	(0,2,inhibition)(2,1,activation)	1225	1693.488223576168	506440.6165662296	0.7243794452296595
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)	614	1831.506058842365	1886796.7247423972	0.8073046137192552
PP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	1	0.8447424599247929	4.433145416107255	0.1708808833663763
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	4	1.1527318684884629	1.455404147483114	0.015791670358423437
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	32	22.83817760558468	373.94195005838196	0.2563794058586423
UP,UP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	311	9.512329546960826	363.3746368834585	4.664527006870145E-7
UP,NP,UP	(0,2,activation)(2,1,activation)	6269	3958.448903220769	1891232.3486570902	0.0587068506172993
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	305	41.53896565220971	1840.5009992478592	2.6156428191181913E-4
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	236	6.696270877772347	99.59047706177063	6.253109141596269E-12
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1434	89.34117826177028	4573.67317506211	0.0
UP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	20	4.606780563367929	15.851787304405551	0.0031374184269691296
NP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	645	5.174635873660658	97.37783243449803	0.0
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	103.18376552119403	13407.033013884895	0.7832848520214071
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	169	304.7053701796019	11875.846349566695	0.9061479125349775
UP,PP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	9	27.93012063035014	697.0668820591426	0.7095057819973627
PP,PP,NP	(0,2,activation)(1,2,activation)	1898	6001.364702879852	1.5201247765240781E7	0.8700254171631185
PP,PP,NP	(0,2,activation)(2,1,inhibition)	568	182.92266555876262	7489.422333854258	4.603864742491748E-4
UP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	26	183.82774702410953	16235.927971854318	0.933701256679233
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	4.819534440895962	9.709927354373693	0.8724369287857072
UP,NP,UP	(0,2,inhibition)(2,1,inhibition)	804	2146.100643601074	391300.32238499913	0.9948824230899859
