Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	18	5.0943566383823695	736.32108196901	0.05316475177981883
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	36	2.858799783280749	58.34187138760496	0.010662103553649716
NP,UP,UP	(0,2,activation)(2,1,activation)	4859	1944.23975168465	688009.0451259515	0.0024922782886300787
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	90	0.3141923042227905	0.4459713164304379	1.1102230246251565E-16
NP,UP,PP	(0,2,inhibition)(2,1,activation)	114	302.54114514600013	21877.277027717326	0.9218212106843245
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	12	28.714278676947078	1960.7051752742652	0.44924187773079105
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	48	3.6225628263631178	67.91230760315268	0.004150043461068953
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.05782462723541517	0.07251364482221437	0.006765233477662891
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	46	0.20984464514799878	0.3244454804254585	1.1102230246251565E-16
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	1617	738.3769689829555	322592.73973084276	0.07954060577813282
NP,NP,NP	(2,1,inhibition)(2,0,inhibition)	1078	28790.49388112497	2.9933702264414E8	0.9907003325646229
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	167	9.031347700822673	156.8627313541133	4.1726974819855656E-7
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	67	234.98068566037833	116371.83297878431	0.519632316845887
PP,UP,PP	(0,2,inhibition)(2,1,activation)	64	193.54322597559755	12011.3568078869	0.9040059580661471
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	14	4.9655586167296155	34.43764415150466	0.07592038116908673
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	4.4390777592973044E-5	4.45346270658749E-5	7.267110702091628E-8
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1284	110.99536682930766	23085.270245704112	1.1280681789338498E-4
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	10	0.7060233020107887	1.8129848546032088	5.057417245964979E-4
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	76	1.0357246095004942	10.908042993978864	2.721862598642488E-7
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	28	7.7632904034679076	98.45256419995388	0.04739768608135575
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	1.4410177533003137	4.8011752634406015	0.21870197498723953
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	10	11.466578862181166	141.04143129507926	0.4222825373440747
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	23	3.723331552499662	7.096300709778925	4.0432284644786876E-6
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.22133362518912533	0.3563525379376659	0.04631154365591161
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	1	21.10414910219018	263.09942579314577	0.9362051508381062
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.009278396377274779	0.010044499007812178	7.44661391216539E-7
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	172	432.2791323789604	79250.92088646855	0.8217687547125221
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	28	3.3038166168766177	18.815062102463266	8.216882301185224E-4
