Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	19	0.2013391906740866	0.804142439523455	7.4023282338187E-6
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	60	1.0920267031340944	12.467567853097385	1.0104470234972851E-5
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	187	424.93334934615166	242167.39427385587	0.5738432259289283
UP,NP,NP	(0,2,inhibition)(2,1,activation)	17540	6004.395102076797	2196120.123859063	3.4710778695767885E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3093	1312.4564167378396	1576561.2775553572	0.09408496878409722
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	904	52.94780874358524	5553.400099830673	1.9615764551561554E-6
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1238	4285.893030618126	1220323.0684545226	0.9997685822988509
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	98	1.092026703134094	4.519780482057904	0.0
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	12347	19808.0768095394	1.1632146483897215E8	0.7316508088280291
PP,PP,UP	(0,2,activation)(2,1,activation)	2050	602.4212175748645	53021.934137755015	3.551529057621572E-6
PP,PP,UP	(0,2,activation)(2,1,inhibition)	676	200.42510855384114	26734.458800028217	0.0137915099043745
PP,NP,UP	(0,2,activation)(2,1,activation)	4104	1178.6392008488258	178751.6634848297	4.943202611684683E-7
UP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	7	4.067401295649573	627.7914014115421	0.04670443095420029
PP,NP,UP	(0,2,activation)(2,1,inhibition)	830	417.564013826608	108782.54824794584	0.11357643411820673
UP,NP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	10	1.334890621495673	109.5223764174326	0.02489062052784541
PP,UP,NP	(0,2,activation)(2,1,activation)	3611	1651.2347354762906	193354.37164124986	1.304787446602118E-4
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	72	15.850352897609685	222.80290425342506	0.004945863093292369
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.06097834811208544	1.0701154467145473	0.004158637954831623
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	8.241379434914284	224.55517595005244	0.11884469696396238
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	143	11.283255177658114	50.039273245420205	0.0
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.2538259519379027	21.56514214491781	0.006183745070154956
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	37.47379600625045	11557.14492999925	0.20082974076033
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	3.1218593520800604	15.542319935765057	0.5251319439223534
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	1	24.13312520127945	793.158584123409	0.7393041998722684
NP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	291	4.889980047544565	183.21034974779008	1.9039187459934936E-7
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	17	4.568867314538903	16.365330186156438	0.009840843170560332
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	72	0.33259057272765247	0.47678426098237964	0.0
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3118	7782.537948955608	1.1320696356896095E7	0.9407891460337214
