Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	223	8.992344424974124	111.59930962286477	2.4129587217203152E-12
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	38	6.006638865203886	129.42253458826886	0.026851753732147543
NP,UP,UP	(0,2,activation)(2,1,activation)	4446	1657.49453675666	498571.0983797633	0.0010436046683073297
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	8.655377694300133	121.52252021487001	0.5895733416903033
NP,UP,PP	(0,2,inhibition)(2,1,activation)	173	157.47445313128208	4944.970077747392	0.36987388998487536
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	38	35.477499937597024	1235.053956596467	0.3676554961026539
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	63	177.87337366643473	8184.149509275092	0.9217869364470505
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.37947545302705304	0.941791447840027	0.09516955328891552
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	330	2.3786390423568267	52.781467059767444	2.112754415861673E-13
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	430	82.56278499423641	661.1472952471895	0.0
NP,NP,NP	(0,2,activation)(1,2,activation)	13342	13184.245725528097	3.422231663498637E7	0.4449242707644857
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	167	6.869306973318809	116.77426708969111	1.1561380808267074E-7
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	89	1054.2924458100629	1215959.9969786413	0.7940581761236355
PP,UP,PP	(0,2,inhibition)(2,1,activation)	69	614.7225492691913	95331.47416438098	0.9924668757904301
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	10	12.556495264293273	144.14360515303883	0.46707576761765934
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1284	86.71790479311791	17001.09622232595	3.55956396056456E-5
UP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	48	0.3765705190890623	1.101201535301786	4.440892098500626E-15
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	18	0.6067097292440151	0.8725470384970149	3.5257241570718634E-11
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	28	12.9078325257655	191.2920439568438	0.1284648564977997
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	4.692821652329314	42.86952187663195	0.46678259103139685
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	1	5.370653321168815	171.80389537799624	0.26365134931234224
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	279	60.45137988792484	3759.43450943592	0.007327050510338884
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	2	0.2875138779882062	0.5655251102972462	0.026450412320702443
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	538	227.51576429269343	16332.993872583873	0.02114838900615379
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	3	133.51681698838934	7829.481104298906	0.9833063368788642
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.05118508396748353	0.06207903275417437	7.014577704067548E-5
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	189	330.39852419703357	21679.48497558356	0.8314911126564246
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	56	3.0722782452129747	23.143298239826333	5.731574622469537E-6
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	37	230.5954918613087	60892.702861014186	0.7409235476873871
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1090	1176.7219821514227	110917.20064472477	0.5759160270618295
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	12	0.6273542457254928	0.7953368493944901	1.2370359625535343E-8
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3154	2879.1552875925013	571608.4636559095	0.3371644058181772
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	6	1.217382538447948	2.940841703960026	0.01691780560180889
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)(1,0,activation)	2	0.16726531761657493	1.1097913671856716	0.02371312000025405
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	21193	14097.854366339592	1.4735858602658093E7	0.04251427411181308
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.0202986419671999	0.03278644371180929	0.0037147824246964722
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	31	3.5831129299043285	6.554625630043672	3.2829927665289915E-9
NP,UP,NP	(0,2,activation)(2,1,activation)	8111	3290.40813162056	755575.1313028783	6.257149064325951E-6
NP,UP,NP	(0,2,activation)(2,1,inhibition)	1058	812.8120241261985	74838.98184579157	0.17932996356630326
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	4	0.13397064567954733	0.34268396170364235	0.0032007584021318536
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	1.3076150400233455	5.385853864327733	0.2802856675213331
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	19	0.1985115900654838	0.29779408228442933	2.6845192735436285E-13
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	17	42.38826476233711	2751.9066215000357	0.5561514587584488
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	20	6.131549839666264	61.823323642220245	0.06213472787695273
NP,NP,PP	(0,2,activation)(2,1,activation)	6047	3881.075812891996	1067817.9604700003	0.027140768001442717
UP,UP,NP	(0,2,activation)(2,1,activation)	20401	7728.602123220323	3224578.063214883	2.9321419292571704E-8
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1612	1909.155485932635	376910.38209484704	0.662525833821494
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	22	7.051349621787041	476.5721503048591	0.10341833941332801
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	1728	71.2603565255887	3139.1451167569694	2.55351295663786E-15
UP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	3	3.3289008126801156	34.0791528898575	0.29316650496172636
