Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	216	8.518463571138064	125.55480914425976	1.668435389845513E-10
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	1	217.86585931924236	148123.86757603876	0.47168917305988967
NP,UP,UP	(0,2,activation)(1,2,activation)	20880	99523.25667866509	2.3150670060650196E9	0.9805075827801246
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	19	0.6307054953349827	1.822906713245961	2.7972600517012225E-6
NP,UP,PP	(0,2,inhibition)(2,1,activation)	151	579.964481191127	64145.99623624602	0.9815536094751235
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	3	20.839566741850245	1382.161476579489	0.4324603415091438
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	7	6.294450335496325	181.76252046350658	0.2331488248327388
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	4	0.1840721608586564	0.42682428885367596	0.0035565033730780016
PP,NP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	12	2.848231484900273	8.676702721234172	0.010329776288906634
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	121	0.31086413872482427	0.9526420753831557	0.0
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	2764	1313.8611139671295	746071.6878809764	0.06575328293071525
NP,NP,PP	(0,2,activation)(1,2,activation)	4495	15596.156866168247	4.921737077768585E7	0.9716617052553365
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	246	7.105467228599389	104.95299719796093	2.2543078515013804E-12
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	5.954923118006955	154.02095018468918	0.19392713740566825
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	63	195.75699177956656	124186.2303928883	0.3982884912998742
PP,UP,PP	(0,2,inhibition)(2,1,activation)	65	221.92753814871296	20810.428400070807	0.8811815870609849
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	22	12.11230405267718	385.5015240861675	0.20171228351993942
