Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	9	0.09780862541541557	0.22908829796764768	2.2179074283368294E-5
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	358	139.40843558169692	2958.8812935449387	7.595611975526051E-4
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	3.4068854393560795	37.455784634436434	0.3797207223124044
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	182	710.92435281212	550663.2236262575	0.7064012895405387
UP,NP,NP	(0,2,inhibition)(2,1,activation)	17735	6425.459878678584	2216678.2819678783	4.349111737411704E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3331	1538.3440285076017	1890721.7245075614	0.1069330232679121
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1148	67.7692760172803	6208.385045070817	1.9490369651542494E-8
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	0.810992036751088	1.8027514408277376	1.621395240292145E-10
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1417	4648.914876133214	688770.68888098	0.9999996431975764
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	14.760498483588835	412.2143706348222	0.5896008196364072
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	12706	6016.939256769761	1504543.653132923	3.589296785122542E-6
PP,PP,UP	(0,2,activation)(2,1,activation)	2672	408.8522726073588	24760.58405036005	0.0
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	40	37.07434749205506	1190.2605789243976	0.36932617772150034
PP,NP,UP	(0,2,activation)(2,1,activation)	4598	1382.4381510812111	232534.52356075007	8.448010991868316E-7
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	89.01369536088337	1090.3989832582074	0.999513178932492
PP,NP,UP	(0,2,activation)(2,1,inhibition)	1125	386.73951946006554	36758.965967353	0.0016286086475202355
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	5	9.274011827036164	18.741210903022875	0.8032742576124398
PP,UP,NP	(0,2,activation)(2,1,activation)	2739	1910.7256448445212	247087.25368878245	0.05739570504974978
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	46	7.4591914956632195	42.91848247835912	1.8933359946859962E-4
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	0.9530822313038608	8.039986196384408	0.11961056490954214
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	29	0.011654787096004928	0.021034654947964138	7.771561172376096E-16
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	45	7.512983298156129	169.9111455990561	0.024400416625441568
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	162	15.661895723995405	84.17468620021904	7.216449660063518E-15
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.4828865235169704	25.937498301244613	0.00774594366233694
UP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	1	3.7496746096050564	28.001864531160884	0.5012704197340613
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	4.3466657549793055	24.85559756166088	0.36997007813789706
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	2.542186210218511	19.5068699033092	0.30539653602982786
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	10	39.362144862964406	1614.6324352566205	0.7122910433748219
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	16	2.3902224868697393	34.89530235470855	0.04059890459799076
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.634833972779619	22.350960785977605	0.013433652715527433
NP,PP,UP	(0,1,activation)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.08899381306556019	0.1758096282664855	0.007014115357465545
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3483	8842.46267487918	1.2653375411633E7	0.9576507698577209
NP,NP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,activation)	8	1.104133455593232	18.92739733408677	0.04772463998871124
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	710	907.229597408897	825911.0068702708	0.4794281808004439
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	60	601.0275201274326	72865.68990492099	0.9977925842129258
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1499	139.6407218304333	25841.031722586515	1.9886488461740015E-5
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	8	0.6746691010152543	98.51607201531417	0.008191829244697968
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4328	1757.0160012110757	326088.910017435	1.7884303802684354E-4
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.1417579122665605	0.6393192783659178	0.013535533522853194
UP,UP,PP	(0,1,inhibition)(1,2,inhibition)(2,0,inhibition)	1	0.6175737870902375	1.1477943035596105	0.15460114566429706
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1302	5498.960844410079	4828641.152171832	0.9923911126116779
NP,UP,UP	(0,2,activation)(1,2,activation)	17909	101474.68878636796	2.431766226937132E9	0.9861265340857702
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	62	3.2256091766301638	6.4251288818120855	0.0
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	17.614219541117794	3409.039612807682	0.1565321510935439
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	144	23.36090299451912	753.9302255289349	0.0033082078348593003
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2342	388.1282810987324	163575.00997715653	0.0015380191239887653
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	10	27.468695740375047	325.10134788521157	0.8289896789150756
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	5	4.4241131876093105	23.18967226311954	0.315404948230007
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	54	0.9498165514049836	7.451215037673743	7.159112557220126E-7
PP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	660	0.004334489193141762	0.004814364601246914	3.3306690738754696E-16
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	10	10.75158256009341	233.88065967901878	0.34977505116192376
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	48	11.138220765729347	1369.2754470028394	0.08063602838812356
PP,PP,PP	(0,2,activation)(1,2,activation)	1505	338.2956024042975	10955.575783962384	2.091660178393795E-13
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.02314621816619379	0.027123422154858814	0.0018747800751307553
NP,UP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	30	3.456445127683748	23.112874795969482	0.0011891610182346302
NP,PP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	6	0.01851717995828165	0.020615257210684763	9.032898873329032E-10
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)	1456	2762.5510586322566	1405081.9389978508	0.8749252261000209
NP,UP,PP	(0,2,inhibition)(1,2,activation)	1036	1349.9145152650913	309710.69217895577	0.6877189056948851
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.5634212828105563	12.010050934022154	0.4654078807251163
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	22.477977072735598	127.22134914505534	0.9522216922563138
UP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	3	1.1605090783192011	1.9937133049259546	0.07135891514184334
PP,UP,PP	(0,2,activation)(2,1,activation)	1105	393.51904026473795	16203.890639357647	1.1065757392070275E-5
