Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	20	4.783252983231761	65.83698904282835	0.05774371309711335
NP,UP,UP	(0,2,activation)(2,1,activation)	4752	1895.8435583793014	677435.1496961657	0.002776756370142297
NP,UP,PP	(0,2,inhibition)(2,1,activation)	206	328.3060244753888	29643.795169627323	0.7389294620351725
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	45	6.039036364408586	58.045580207886786	0.0015539927690058075
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	18	80.1645354040592	2667.5668435238103	0.9157790478363362
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	23	0.48219034544412215	14.674242996824097	0.006821005510355027
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.10737613820752255	0.14757469710410812	0.00325472191220344
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	1538	711.1697710889828	296328.5445614348	0.08227920813995804
NP,NP,PP	(0,2,activation)(1,2,activation)	3050	9917.71826134201	5.777417183274023E7	0.8149752579625205
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	7.638555368450946	109.08187968543285	1.3091749906379846E-12
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	18	4.775700916435883	129.66818080619086	0.0944325004181158
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	69	681.2592366065445	665877.2594839489	0.7038070617275755
PP,UP,PP	(0,2,inhibition)(2,1,activation)	167	352.9774380162126	36240.953326130504	0.8387680470616714
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1	6.7407823046119	402.11237407040875	0.1934333631841889
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	44	27.123533833071942	265.4942210296141	0.14249396486880161
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	128	324.6549198506386	14194.939631650937	0.9716423287291378
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.887138603392547	60.307118944729694	0.01505591750671842
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.022403208220776433	0.025999286658242325	0.001721264962703084
UP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.03916887487863242	0.05398662149026986	0.005600290473405711
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	42	0.6187446390879041	1.4208494667033724	1.5543122344752192E-15
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	6	0.2859496880780971	1.7683463940805375	0.011811401174151803
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	9	5.5400146037915645	67.34095099501421	0.2198853584763003
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	20	25.185012802808615	6369.492878094743	0.15596889341297837
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	9	10.909052952437582	4674.879673753559	0.04753969131330815
