Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	112	7.155329418122113	123.33043671955497	3.058167370684206E-5
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	1.5613086316021103	34.16035031264821	0.054439093312414255
PP,UP,UP	(0,2,activation)(1,2,activation)	10630	32982.84943047457	2.655780039683659E8	0.9435393977646067
PP,UP,NP	(0,2,inhibition)(2,1,activation)	300	677.4712317432393	140439.8520096765	0.849907596540586
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	11	32.80458526121788	1744.9661786800034	0.5660734530042086
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	199	13.110802911540368	797.3732800629754	0.0015199349579503307
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	34	7.220167810899268	684.1552999958683	0.07200214239395719
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.15812346069277683	0.5019685688745579	0.011400940642537494
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	2	0.04131805744403823	0.0737867442217324	0.002502488997743524
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	463	274.16970284393943	74128.1853459848	0.20334683372264162
PP,PP,NP	(0,2,activation)(1,2,activation)	2921	2220.9847142516323	825214.8667047275	0.20771379845967108
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	39	2.633791889434619	24.340683980574823	4.789152877101577E-4
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.668739826214316	4.234621950612632	0.6703319359243998
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	293	719.716291713111	731396.2160430942	0.5762500908771208
NP,UP,NP	(0,2,inhibition)(2,1,activation)	437	1136.157381720047	272304.09518977674	0.9339636646311489
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	213	49.1599556407137	1777.3340959214565	0.0037276132087931124
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.02187502208519732	0.03745035713376988	0.001153239383355542
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	8	1.145431573566224	229.56359514994293	0.010446298351534766
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	26	12.456111452833653	129.01575092206704	0.1153273679519149
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	177	24.822684819061653	817.8690677618171	0.0010360028403615384
UP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	11	1.2848278281475063	3.4197972293750896	0.0012863258808315514
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.03380050017842416	0.051776180369611874	0.0058109600229133695
PP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.09710764437035697	0.13541837939498297	0.015438943646642667
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	285	23.642162149399976	435.2452549045073	5.210569864466663E-9
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	8.605309798861372	121.55685193993608	0.5857936529364246
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	10	10.241526695800129	1985.3087481255795	0.0904867674773262
PP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	414	63.321398482483026	3699.962397955493	3.467183410500452E-4
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	10	23.751440635946327	4753.944165515008	0.1925131254639164
UP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	3	0.14467911973261702	0.18953446775815008	7.184593977644926E-4
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	651	114.0585089575419	8081.221704441488	1.299793658846582E-4
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)	510	1723.9292245006548	1236156.1576536726	0.883224032584813
PP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)(1,0,activation)	2	0.0874213787514155	0.16888123475429023	0.006604855382272956
PP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	6	0.471158433559199	1.000508580549356	0.0018752609371570639
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	1327	0.34810374408395656	2.5909946528500347	8.881784197001252E-16
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	35	48.20656461904848	3330.5329547905562	0.4536840979718313
PP,UP,PP	(0,2,inhibition)(2,1,activation)	64	204.76554927962147	13282.19360214482	0.9145796491909703
PP,NP,NP	(0,1,inhibition)(1,2,activation)(2,0,activation)	15	4.16425659398346	24.9484996752584	0.0381912864065348
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	416	1258.7637143270642	423396.31878046715	0.9294926284173093
PP,NP,NP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	8	0.9086499564821883	18.46266504567869	0.038461809540089154
UP,NP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	2	4.004514314352374	105.4022125963412	0.2230736987848172
UP,NP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.37040664694503533	3.7892719741761507	0.0528400377967867
UP,NP,NP	(0,2,inhibition)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.09995477271453433	0.20112989204787782	0.008211551730064937
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)	4713	3384.494125404935	770175.8569519334	0.0736678579592388
NP,NP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	4	0.5235322633078454	8.446401514396083	0.03666182823824671
NP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	18	0.49078283825528407	1.3912269171072134	2.3808362556998475E-6
PP,UP,PP	(0,2,activation)(1,2,activation)	6440	8190.3215203791915	2356233.941935748	0.8766807658213598
PP,UP,PP	(0,2,activation)(2,1,inhibition)	788	594.4572140724555	338860.03411177674	0.29218895261928024
UP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	105	1.323992158571599	14.9759456930556	8.406682572292823E-9
NP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	41	12.543559673375267	2694.6520936170896	0.0765662243008628
NP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	10	1.3770333227441418	18.83799924715973	0.04546434590046866
PP,PP,NP	(0,2,activation)(2,1,inhibition)	330	284.04994274075443	62338.89857764392	0.34543604623696333
PP,PP,NP	(0,2,activation)(2,1,activation)	1675	1301.7739544699991	107101.1726223086	0.12942282807132655
UP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	39	0.2576047183621288	1.058971285877575	1.0700367258920096E-9
UP,UP,PP	(0,2,activation)(2,1,activation)	9943	3177.981286138568	609958.2675262578	1.5292456190252324E-10
UP,UP,PP	(0,2,activation)(2,1,inhibition)	415	3756.764164958973	1.0689301326142281E7	0.8714719940384967
UP,NP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	22	14.099287878815144	904.3367148714415	0.20287318110490649
PP,PP,NP	(0,2,inhibition)(2,1,activation)	327	534.6727814783892	85121.70495155378	0.7390320217819568
PP,PP,NP	(0,2,inhibition)(2,1,inhibition)	240	116.66677800894385	19079.64368508935	0.16007529961467837
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	6	3.0999492920163636	19.444178597870938	0.1719575031923457
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	3	7.94590995777049	445.29279056231775	0.22164457643468638
NP,NP,NP	(0,2,inhibition)(2,1,activation)	2858	2068.4379864927537	840782.6424706746	0.18540968607869124
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	363	455.25554583285805	298842.8680809459	0.43287627773946546
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	0.8623677282766765	1.8138218702137132	0.22090853827027102
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)(1,0,inhibition)	2	0.04341231448180154	0.07262340405728977	0.002223176188248188
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	6	0.005807578378699942	0.006217316221656526	1.3510970120478305E-11
NP,PP,UP	(0,2,activation)(2,1,activation)	2241	1585.3361710897466	324631.7461160319	0.12821883727285732
NP,PP,UP	(0,2,activation)(2,1,inhibition)	1048	549.2960409320418	182728.43924203241	0.12531259289650976
