Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	188	5.532353247451812	83.47052885454748	8.955710617541968E-10
NP,UP,UP	(0,2,activation)(1,2,activation)	16642	96898.17128167937	2.2251807249275856E9	0.9867398022006725
NP,UP,PP	(0,2,activation)(1,2,inhibition)	4007	1890.193633679494	449551.69572643796	0.004086783180878628
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	2	0.32648875433577973	3.1699086024540786	0.039664758743572004
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	35	3.8946426806103336	210.24324288575312	0.03951212678427829
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	98	1.5767088721720257	3.573167584861241	0.0
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.08811166449694346	0.12013264107257973	0.00243410344632633
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	806	546.0727405755428	163699.1367048896	0.22592594699554525
NP,NP,NP	(0,2,activation)(1,2,activation)	19913	16501.582313802894	1.0377699227919936E7	0.14548039885081165
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	8.206153148136073	125.73036861747599	9.724998584204059E-12
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	6.192402232043907	11.837648677149197	0.9442573300216293
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	69	604.1274478702531	601715.1108394001	0.6537734108413584
PP,UP,PP	(0,2,inhibition)(2,1,activation)	106	387.5234163720355	45712.497093291895	0.9373550448422971
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1	8.149357640556701	551.6152250424162	0.20578435888883984
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	38	29.397216465268116	470.1091697988426	0.28522888882068986
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	373	38.203565358132	1238.9542087919522	1.0573291536752905E-6
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.8353290863880826	56.827574838258855	0.014176743504211609
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.05448492084624516	0.1124030478426588	0.01253308723501878
NP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,0,inhibition)(2,1,activation)	2	0.05042060737885356	0.21124856165036032	0.007357866010281766
UP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.03281290485010744	0.044933239756514524	0.004576547456031421
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	183	3.4612247389037134	42.0203445145676	3.3102409702223667E-12
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	7	0.23245052166814925	1.5043887911512788	0.007363566617393458
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	9	5.936275178350105	74.32351027512941	0.23615828283558526
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	1	2.653579581628994	14.213109228144774	0.4521138288299469
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	12	10.054023430625637	4787.399188193399	0.039278039746593496
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	553	15.916963779227105	580.4770073588896	1.9121926264631384E-11
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	6	17.953526579860867	1778.6998694006343	0.2726453430364626
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	190	15.466514461864401	215.34027837194625	3.093745903903766E-8
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	36	212.44642299820384	16187.018419550062	0.9574656576223106
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	14	23.170014257320716	4849.778691994427	0.1754710171586107
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	498	813.6733964567079	247727.15660610143	0.7034768598677086
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	72	0.10974387323132485	0.26363427189398486	0.0
NP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	9	0.08811166449694349	0.1598440593451001	1.5834222302224532E-6
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	360	3.538016390475839	81.2716420210548	1.3777867735598193E-13
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	34	105.25110676849259	18886.38270433205	0.5618861007057729
NP,UP,NP	(0,2,inhibition)(2,1,activation)	328	831.4014955564417	141915.632620333	0.9326627778044974
NP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,activation)	4	0.6411203623957751	1.331727266873296	0.01559571531811521
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3718	6425.159718617984	7183952.698706888	0.8477258164711847
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	146	1.7706465952820694	41.06438668374234	1.0515388114695767E-6
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	20905	11481.378295470331	8646895.26314415	0.002690409477138944
PP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	5	0.13948102411536614	0.7140751519960938	0.006503708938787822
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	20	10.779765403684122	102.13230282915747	0.15545216092948222
NP,UP,NP	(0,2,activation)(1,2,activation)	49142	68988.68694249434	8.438648888130283E7	0.989472197142679
NP,UP,NP	(0,2,activation)(2,1,inhibition)	7408	2821.068489001145	3644824.2503267154	0.02457997909344478
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	18	0.2799005605281388	0.616496903231436	2.3282287209269725E-8
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	25.816326526692052	1308.978533674307	0.5897482652213961
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	186	1.0978685371396082	10.004443929962372	0.0
NP,NP,PP	(0,2,activation)(2,1,activation)	4530	2581.5564770689566	1074959.409708227	0.044135507170924626
UP,UP,NP	(0,2,activation)(2,1,activation)	18367	10320.646844993487	4753002.749495834	6.674672000543946E-4
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1849	5897.065115635679	1.50272666981216E7	0.8675379139987554
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	2237	212.79140498576726	25085.434206927726	4.5462411613073073E-10
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.0735136249257368	0.13213872146813355	9.992007221626409E-16
NP,NP,PP	(0,2,inhibition)(2,1,activation)	924	711.3576991369787	118221.2245650288	0.24401533776383888
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	337	326.8254181124754	139554.86946664378	0.3702193434561658
PP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	165	0.7921375714296444	46.51207675012212	1.0217119750721704E-4
PP,PP,PP	(0,2,inhibition)(2,1,activation)	151	247.518314102553	19469.11653388122	0.7292316602342843
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	50	186.08670923670064	59093.38676701793	0.5822600500423919
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	231	0.6180379134862075	1.4430155345271398	0.0
NP,UP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)(1,0,inhibition)	2	0.12283709574471076	0.36225703848228774	0.01563040078478195
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	23.22580876809783	735.6118032133497	0.7170801676539413
PP,NP,UP	(0,2,activation)(2,1,activation)	5912	1579.527241561749	322360.77607880207	7.027791293356955E-8
PP,NP,UP	(0,2,activation)(2,1,inhibition)	813	454.7483151000704	95672.8144995452	0.12689489201017157
PP,PP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	1	0.4409371884934382	1.2471277882324039	0.11016618168880388
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	129	5.516297117910125	400.91818014549904	0.0051403911394747315
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.017208726335989515	0.04525002044407399	0.0
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	10	12.313329039359745	295.17736777114465	0.38216270423765664
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	22	15.20343642518506	2451.6963070464844	0.1333463627177096
PP,NP,UP	(0,2,inhibition)(2,1,activation)	149	2462.3950991651614	1133346.737644069	0.999480393617326
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	31	708.9273252095744	114592.48086698062	0.99889486396399
NP,PP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	36	4.558864843521676	131.2233234416434	0.03080676712058872
UP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	2.114782306268471	402.5393200905243	0.021190834596755748
UP,PP,PP	(2,1,activation)(2,0,inhibition)	22267	803.5641449799558	914800.405543118	0.0
PP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	60	0.001458915961794192	0.04146857879616548	1.4527421904331206E-6
PP,PP,NP	(0,2,inhibition)(2,1,activation)	335	600.0556974775615	91632.1297529387	0.8030856411321937
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)	113	1147.7745384309164	1047090.5107689931	0.8672832195396072
NP,PP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	72	0.007860266045026286	0.2207886497340464	3.20537759723738E-6
NP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	863	128.0212341634928	30361.207976607668	0.005270487308127514
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	170	37.49528658762431	1038.100711761491	0.00270144156192631
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	32	9.015714498729107	92.564354580064	0.029980326050635053
UP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	9	2.060255946159279	88.45752018807673	0.06003411033320083
UP,NP,UP	(0,2,activation)(2,1,activation)	21891	7972.226912701036	7220495.991648212	3.6854185999302125E-5
UP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	5	1.2800300524078356	2.6790511981933616	0.026712981188564133
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	3	9.28030209169146	329.0257674441434	0.35066075736507973
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	18	41.131628878419775	13712.655563183811	0.1982771050234683
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	82	179.99269630883285	24881.792042014196	0.676511071609211
NP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	670	22.035775750489048	435.7942831979172	3.3306690738754696E-15
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	26	22.972058631563176	893.0761012203378	0.3242126601341817
PP,PP,NP	(2,1,activation)(2,0,activation)	5817	2821.655272042651	1057783.330616097	0.006801433688180314
