Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	24	0.5838695059617711	7.581681613541395	0.0023159247488686585
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	1.8045549623479245	9.341597304821102	0.3370343238802893
PP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.01836274227135175	0.025296246128714808	6.911421729338674E-5
UP,NP,NP	(0,2,inhibition)(2,1,activation)	17715	6218.381230992501	1676281.2581380904	2.0438983838744207E-11
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	1946	1218.967574319808	1307245.225468893	0.21850463198558934
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1161	39.67543649349011	910.2348886030131	2.55351295663786E-15
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	24	0.6989373055638316	1.5220583568084365	1.6562422544552646E-9
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1378	5190.950635353069	1294288.7786940895	0.9999931226516118
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	0.7241690907577317	4.725632279938887	7.657208200839705E-13
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	12993	14397.00353497645	7.412464418160066E7	0.5045093186074825
PP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	11.40643175780725	394.5495279344219	0.45425425779463713
PP,PP,UP	(2,1,activation)(2,0,activation)	4183	3164.705102206032	1026257.9747092202	0.1561326051134585
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	19	62.17870001893079	5768.019495079916	0.601129114047517
PP,NP,UP	(0,2,activation)(2,1,activation)	4689	1587.810719594076	348093.71135447035	4.110567804249676E-5
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	7	67.65019900166622	361.28950057597194	0.9999977410254264
PP,NP,UP	(0,2,activation)(2,1,inhibition)	820	478.873640341868	107842.70534231528	0.14618973792157508
PP,UP,NP	(0,2,activation)(2,1,activation)	3143	1902.0817323609429	234473.47784628766	0.01073766200401094
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	0.5442423289833025	2.9523811861993874	0.079489976149692
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	6	2.0183410858125943	23.335307465317882	0.11471110661038786
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	9	9.282833168056086	249.32750714322503	0.30357154152731414
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	707	696.4356274273331	137405.19009277958	0.4349099370031376
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.2519480016564073	14.168819606470496	0.0021058505116803294
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	57.82192709220932	19945.350090256394	0.2679813211868708
UP,NP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	6	197.42767613777852	67264.45071654563	0.6724153846372847
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	21	29.65618276020388	977.1516006102909	0.4908977523584288
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.4342260868745136	3.509483610482082	0.07451548678515396
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	4.7554915602267585	16.763851224600465	0.005440732321404185
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	2561	7258.795142443576	9271718.224481829	0.9640208333227751
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1998	1211.3958676004806	1499482.9070970837	0.21365671737468395
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	101	680.6728153322634	109371.30362708261	0.9902027623063065
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1385	83.21130230334265	3840.366609509465	0.0
UP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	32	34.626514750491644	671.9019738001366	0.4555624679051332
NP,UP,UP	(0,2,activation)(1,2,inhibition)	3841	1787.407128670794	354662.49112372985	0.0020787589953992214
PP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.019145853874891556	0.022345970765806883	0.0014931689894884803
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.08564972620810518	0.2634194282424709	0.005768823875601625
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	24	8.013939560102925	359.6533294709843	0.12048339754196613
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1202	4041.754689109286	2593068.3039021045	0.9841198300494882
NP,UP,UP	(0,2,activation)(1,2,activation)	25127	97111.6201173892	2.2213813327184296E9	0.9681779588377561
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	1	3.708417727351543	12.17557818360413	0.6798849667363877
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	10.275313198575867	223.7663721711312	0.42360247410692753
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	215	16.232494220384257	165.6914566248783	6.311617894994015E-12
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2197	210.7859545582227	16568.53968551392	1.4144241333724494E-13
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	59	41.31963515648142	3575.11299592452	0.2607990363026227
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.4653560161077473	0.7775337010921985	0.03978152856749173
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	193	280.0976267037041	44675.817665970666	0.592678716122423
PP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	97	567.2731874819339	135618.16016513482	0.9392826600761098
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.34971941745602814	2.504534118228465	0.002525591683114503
PP,PP,PP	(0,2,activation)(2,1,activation)	948	347.87296359817753	49893.39567046749	0.0156402105685729
PP,PP,NP	(0,2,activation)(2,1,activation)	1989	1130.021726776336	95750.20188253	0.007207005390444277
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.129089385246425	0.6445823766719824	0.028393979827405325
