Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	5	0.049002803479021244	0.09265653700090767	1.1106374478819792E-4
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	3.445137752246267	38.164852007357275	0.3813517322355148
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	101	467.7907086039449	266039.39180955966	0.6976703275149123
UP,NP,NP	(0,2,inhibition)(2,1,activation)	19673	7689.406859853406	3057942.9081127644	5.2705172670641787E-8
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3887	1720.3193986817485	2234345.9425126063	0.09037201804160189
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1183	68.55020000455733	6413.263652959307	1.5521488538894346E-8
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1830	5928.976150056563	1706495.7076512799	0.9999626005607584
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	0.9941335928152453	7.909733571484617	1.3089906936158968E-10
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	14457	16063.534602350841	9.201517841430244E7	0.5064077613069686
PP,PP,UP	(0,2,activation)(2,1,activation)	554	225.59540422031472	9393.60404173463	0.003178622499817485
PP,PP,UP	(0,2,activation)(2,1,inhibition)	332	120.46205744872393	7941.670528630981	0.026668400373221268
PP,NP,UP	(0,2,activation)(2,1,activation)	2440	1259.8716364992185	211039.77204633225	0.012998917092924556
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	96.5625914316341	1437.8246004879857	0.9992374198125926
PP,NP,UP	(0,2,activation)(2,1,inhibition)	276	370.89924575350915	65257.214169152256	0.5819826232426228
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	8.206033379364756	19.062895281812416	0.9715464202742016
PP,UP,NP	(0,2,activation)(2,1,activation)	2636	1633.9525339698673	178208.3022032599	0.01579878988811534
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	27	3.330372418016674	17.729549851336	7.957916462107972E-4
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.0142295110124682	11.019682794844568	0.11231149811853469
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	1	0.44215634941992515	5.740918729789224	0.05278970579052478
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	29	0.024246825779116854	0.2429670239971524	1.3381886409868926E-5
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	47	7.902072885442175	183.81443232016483	0.02410511067974752
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	740	1279.6078303070483	557851.2360809105	0.7421236467134866
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.2765204259906007	19.279865209658517	0.004788306551755328
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	42.92776002961912	13642.868767599823	0.23096559732286348
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	4.631682587389247	26.97916523890275	0.46491407236453997
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	4.919951317377177	183.33155125228714	0.2064455446616612
NP,PP,PP	(0,2,activation)(2,1,inhibition)	109	258.271493386937	77504.8955104867	0.6114663957195481
