Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	75	6.432432212238053	929.3498182373431	0.03135278935682362
NP,UP,UP	(0,2,activation)(1,2,activation)	20448	85955.09515920116	1.7620274394543247E9	0.9727856787594376
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	36	8.06239619469885	88.44822883598911	0.016333658817369145
NP,UP,PP	(0,2,inhibition)(2,1,activation)	211	607.0488831719646	72315.40345139761	0.955947348031013
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	36	4.914581810675921	89.93220436976038	0.01823502151419143
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.2526092373951445	0.36748202765395027	0.04952091545839965
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	146	0.3151506338598872	0.4915451037209485	0.0
PP,NP,NP	(0,2,inhibition)(2,1,activation)	977	1025.2412490491608	284638.8602547904	0.48297907423599673
NP,NP,PP	(0,2,activation)(1,2,activation)	4353	7760.675943131831	2691368.5476049036	0.9896646024369996
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	167	6.093242862970891	92.54961847491397	1.5500675853985513E-8
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	108	202.62961400080067	94276.86910465668	0.4323000823048472
PP,UP,PP	(0,2,inhibition)(2,1,activation)	102	278.8645211230362	23896.091020389154	0.8926399919887823
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	15	14.801991062717423	175.96178335683626	0.38924012001761976
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	2.848363813136234E-4	2.876404541525935E-4	1.428103724943064E-6
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	64	21.380777488594283	194.71468205863016	0.008576195613036797
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1211	80.85663694898906	16932.089514640873	8.363274804223941E-5
UP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	48	0.5879005506984647	5.049449741921727	3.030726854924559E-6
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.21582496129346557	1.1960212938414188	0.031667292879193676
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.6875655720867322	4.034458126652991	0.09850690458704836
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	196	5.757228823465652	45.874896922585734	9.992007221626409E-16
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	28	12.999329306301037	184.74533635728025	0.12700632137972057
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	23	30.597830141758198	7817.168380286296	0.18098763738524692
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	512	30.553466341171113	397.27017871109035	4.551914400963142E-15
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	10.109855425565438	800.5647503062042	0.17077543530640404
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	2	0.2980774054252727	0.6207816215220539	0.029626955276731093
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	15	1.7925219094035336	10.764189004147594	0.00827480157218552
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	229.86862396115603	80501.34618848661	0.7258940192999839
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	216	569.442863284745	129153.65641204437	0.8438750049955491
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	36	0.38806724454377167	1.412033997122705	1.2935746918074642E-9
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	236	4.959644568969805	62.71562965891491	2.398081733190338E-14
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	16	26.186725134540243	960.7927777164167	0.4935141745877559
NP,UP,NP	(0,2,inhibition)(2,1,activation)	407	1427.5957145519174	387087.5530867588	0.9766255319122368
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	68	8.74865604107806	163.21434096565304	0.003675190899298686
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4319	11031.254174964946	1.788816878098692E7	0.9664507947903934
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	117	2.04837738147138	34.27685020738662	6.642516751087513E-7
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	6.09865655302326	60.45983659731361	0.5443888314504284
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	22428	11431.21042922051	5883220.303470343	6.623261841309791E-5
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	8.855448227233026E-4	9.11744312991396E-4	1.3090042647601052E-5
NP,UP,NP	(0,2,activation)(2,1,activation)	9996	3399.459321008283	1046325.0239199251	7.618509961782038E-7
NP,UP,NP	(0,2,activation)(1,2,inhibition)	13475	4625.447916164769	1092546.1638911664	1.684425932069189E-10
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	5	2.5485132911904596	45.79361877150059	0.14540866223575388
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	0.7656758678403613	1.5101282671979244	0.19552932672905665
PP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	37	3.382039716472279	52.74726520141713	0.006737129029387723
PP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6	1.7830466533739984	17.168126912983894	0.10073374989092876
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	180	0.91945128221368	1.9507970584040528	0.0
NP,NP,PP	(0,2,activation)(2,1,activation)	5448	4396.45348562721	869007.6749112308	0.13170105980074975
UP,UP,NP	(0,2,activation)(2,1,activation)	20348	7278.601010200878	3604695.5850988477	9.822846636087235E-8
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1618	7199.537403098445	3.244047204582177E7	0.8487629258047412
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	160	41.999230261454585	1526.6490304456145	0.01322291187375646
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	951	77.95033038848706	14411.031582679836	2.925479384819907E-4
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.0933330404219193	0.2419013184480054	0.0
UP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	3	1.980382022281024	8.467841990200354	0.213780998172016
NP,NP,PP	(0,2,inhibition)(2,1,activation)	648	949.0189843426305	161664.82097431843	0.7583407165674636
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	176	292.76776764798154	126814.5293327913	0.49413108174990816
PP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	90	1.5543415670713356	4.359274218011923	4.440892098500626E-16
PP,PP,PP	(0,2,inhibition)(2,1,activation)	366	311.5348415893333	28871.701510063445	0.328952646244673
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	36	49.40057638854871	5826.6972045383845	0.3794606246546196
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	198	1.213512399217993	19.192021291858584	7.861600259673196E-12
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	19.864752633508086	530.5924214809444	0.6659702344154084
PP,NP,UP	(0,2,activation)(2,1,activation)	5582	1610.0425693431196	323206.91804614244	3.7748850645336063E-7
PP,NP,UP	(0,2,activation)(2,1,inhibition)	781	654.4734070955185	102284.426045175	0.3094121871586133
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	4.007995993053431	59.938108459287214	0.21388357344404207
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	147	33.528206532116	905.2044588050373	0.004655827083206443
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.03628404756781735	0.041644231166325825	1.1102230246251565E-16
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	170	68.39445420577964	11248.442280769068	0.1400429530198789
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	55	14.290669145382573	1716.084632881943	0.09324664009228911
PP,NP,UP	(0,2,inhibition)(2,1,activation)	1174	1169.8953421432705	301966.8348974853	0.44955172672766786
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	79	475.55599155994173	53619.875005708716	0.9874424134803068
