Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.013333092201738282	0.015506617834563668	6.493122140294183E-6
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	125	1.2477659175976008	3.6218254662135205	8.881784197001252E-16
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	115	452.94509780697683	250044.09409446633	0.6787736859280984
UP,NP,NP	(0,2,inhibition)(2,1,activation)	22986	8820.511481775015	3531954.0486694127	3.1179320236773833E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	4181	1841.9088097403192	2492937.9773617443	0.08698108464567034
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1265	60.836355342667005	1832.1646632524808	0.0
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	0.5388027526197446	1.1798883999153666	0.013295553838947205
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1841	6652.829854103149	2057002.586368017	0.9999923049555438
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	1.1354029559518157	9.774761555109999	5.079250353645648E-10
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	16583	18507.071362249135	1.2123572329502016E8	0.5096300610514635
PP,PP,UP	(0,2,activation)(2,1,activation)	256	96.21956847546338	2589.277191462572	0.006275306662862912
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	39	83.00489771157109	8922.934281536289	0.5668032727604487
PP,NP,UP	(0,2,activation)(2,1,activation)	2117	752.4909803763339	82149.87669928651	1.4148403991409708E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	15	75.1966953276473	429.40060261381586	0.9999389915058401
PP,NP,UP	(0,2,activation)(2,1,inhibition)	178	227.45779428309777	26386.05406642311	0.5498103224929984
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	29.977620559002727	891.727678384244	0.8396777096507778
PP,UP,NP	(0,2,activation)(2,1,activation)	1821	997.6739940595331	67073.19497057365	0.002875974347025134
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.162926928800889	13.438314596224714	0.12360636329133456
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.4881462304841423	6.665944929055294	0.03658503999687179
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.009113516525159019	0.0497104676412016	0.001344815085131179
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	45	4.780154824704336	103.03211300377805	0.011400615337689213
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	192	18.763184922001734	96.10101013328944	3.774758283725532E-15
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	50	10.115670002355769	444.39381300977556	0.05848709785166084
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	8	45.916966939489676	14716.090103426417	0.2379863473786794
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	4.754009662479377	27.456827966675895	0.4763459986266336
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	15	45.23450309107152	1757.8275005444546	0.7166798477508045
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.7704813311292573	5.007241673779915	0.11449710847737893
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.857223916192931	24.44866042220316	0.017106363309825068
