Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	11	0.03910553658112461	0.05067284053948263	1.5413115228568586E-11
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	3.4164198875387006	36.0798734369915	0.3896275543600197
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	150	219.52598168664125	65462.59504568426	0.47846140618217603
UP,NP,NP	(0,2,inhibition)(2,1,activation)	20198	7473.2403031911	2746805.350271769	2.463556247889187E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2321	2141.29569051664	2989238.320285134	0.3799383395467021
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1216	52.37188125755256	1453.610111533082	0.0
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	8	1.1378089083549738	3.050300391090417	0.005842688124183204
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1524	5562.193279808928	1467714.9731739797	0.9999914952453991
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	0.9830139606979271	7.712082179998665	9.674472334353368E-11
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	13854	15318.477979328873	8.36712070505032E7	0.5033881247355081
PP,PP,UP	(2,1,activation)(2,0,activation)	3066	2351.163154258951	729308.7943509407	0.19285513581739344
PP,PP,UP	(0,2,activation)(2,1,inhibition)	384	112.2281041123947	6876.270058122449	0.007366148095476532
PP,NP,UP	(0,2,activation)(2,1,activation)	3411	1037.9974687711338	144507.45876530115	3.2937494259810407E-6
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	15	69.13367105274212	373.33413418982855	0.9998678656430718
PP,NP,UP	(0,2,activation)(2,1,inhibition)	224	310.8585557224875	46370.57032427956	0.5953154637881812
PP,UP,NP	(0,2,activation)(2,1,activation)	2296	1394.6305221700707	121374.66643197625	0.010098130593441224
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.0231463793829612	10.97170196593762	0.11404001442889333
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	6	4.941089072324102	67.13022980138412	0.266480661855256
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	9	9.87359826435725	241.06664787296654	0.3313649258636633
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	790	1303.3040685070011	558758.2550374223	0.7278577140167467
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.5053903793944492	21.417516957187743	0.005087260368262014
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	2.2747378203319597	66.25017988748928	0.0654035563595815
UP,NP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	6	438.0368159530949	164158.39757173113	0.8955983989516214
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	21	52.83370694447784	2000.6660131946956	0.7185454258851192
