Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	11	0.04293431704693888	0.05633561305447904	2.8851032674026555E-11
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	3.3244907103450236	34.544849983925275	0.3850025394810166
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	141	226.49707688746133	68516.03188502372	0.5030663355243805
UP,NP,NP	(0,2,inhibition)(2,1,activation)	20921	7650.173673708041	2892079.633558169	1.5487121585167074E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2577	2272.9353209554874	3356878.471421523	0.35876785695130753
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1191	51.35087509869607	1415.1705795709922	0.0
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1892	5846.313652771863	1610655.6979312152	0.9999519197564286
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	0.9495830906297839	7.295355954825429	5.839617678304876E-11
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	14745	16617.551157528287	9.81940740265134E7	0.5153367258944478
PP,PP,UP	(0,2,activation)(2,1,activation)	608	239.01100444452226	11358.313570002836	0.002895359320765345
PP,PP,UP	(0,2,activation)(2,1,inhibition)	449	102.11086903671544	5786.763277864649	0.0010513610937099571
PP,NP,UP	(0,2,activation)(2,1,activation)	4303	1076.992710716707	153963.64448195626	1.4515274981974358E-8
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	15	70.04138877707778	381.3455772914749	0.999882971980666
PP,NP,UP	(0,2,activation)(2,1,inhibition)	447	332.88533787303976	52772.89764363093	0.2659448376649397
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	33.617979881965596	838.1405980236636	0.9102335809224072
PP,UP,NP	(0,2,activation)(2,1,activation)	2760	1409.2951168287113	123153.22896558372	5.537556552561718E-4
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.0275596133167193	10.974112109401721	0.11475353982425474
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	6	4.97657725876804	68.3064784951636	0.2675540502797039
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	9	8.789969309661103	196.1882628234351	0.3080969450266836
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	768	1282.2456158687698	542671.7161830636	0.7325036647053131
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.4015762691413522	19.93095934105318	0.004649251967758783
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	2.1937134019778446	63.25519397955901	0.06322282530106815
UP,NP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	6	451.21919972085664	176448.73037401005	0.8928625896428082
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	21	52.64907829875662	2015.1780876407702	0.7149340413792613
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.6831538402569055	4.623822889587625	0.10436204077572853
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.445551998637107	21.51051738834832	0.011923212823211737
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4370	13422.447257051466	2.4664131359077126E7	0.9860591261224033
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1666	299.7401225444061	38764.92780212851	1.1215203574499455E-5
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	94	180.06924276296584	6292.645776525227	0.8688147742537645
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1385	94.10803978268002	4553.048452447374	0.0
UP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	26	26.818261196461936	461.3896741449446	0.4239734432194927
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4282	2045.5269839979583	467453.34605274117	0.0030389078999585317
PP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.004534652678904984	0.0050920968940069335	2.554222397357364E-4
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.13779532848948095	0.6106346949267706	0.013029801982945788
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	24	1.7052674646893404	33.143360921617585	0.015912249073807394
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2300	7353.687573747169	6539269.090365335	0.9922167170082735
NP,UP,UP	(0,2,activation)(1,2,activation)	26202	111135.5304695469	2.9196083390877953E9	0.9739414686114947
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	54	2.6081922314207397	6.08805987148797	1.9984014443252818E-15
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	11.120057377870376	192.1632093169879	0.49212861978071887
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	185	11.878345237364615	85.6558999521134	7.771561172376096E-15
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2338	272.98109494014375	24933.719051012115	7.751799202537768E-12
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	59	81.10513553110161	9000.364485209524	0.46075561182408054
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	56	0.5200471384886579	1.218676382393479	2.220446049250313E-16
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.04689368046632495	0.06234616313500336	1.5572225544191465E-4
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	46	7.565635973204563	26.220045855610742	3.213662503998016E-6
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	1	25.9609029084797	3679.313026596274	0.30141886021395614
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.13134403884266946	0.5772695526188867	1.3792596092077059E-4
PP,PP,PP	(0,2,activation)(2,1,activation)	109	114.47630013858824	5170.134676202046	0.46350814377077243
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.058177619206067885	0.125165716927059	0.013665977971763388
PP,PP,NP	(0,2,activation)(2,1,activation)	1147	693.3040561324839	39737.62228751741	0.019873922981005765
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.03463261725567144	0.078663536086267	0.008277257000132265
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)	1861	3482.230893291714	1954150.9808128122	0.8890524108611483
