Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	81	1.4504891351996332	23.662150562176386	1.5926007551625432E-5
NP,UP,UP	(0,2,activation)(1,2,activation)	28354	106977.49636106455	2.700326456289118E9	0.9662515525877771
NP,UP,PP	(0,2,inhibition)(2,1,activation)	160	585.5847169595826	61631.74414233933	0.9822161606486446
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	28	7.96490074160534	397.3743934185362	0.10318410460446759
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	1.128798820529004	19.138039150987225	0.008306675752545067
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.02174799992634044	0.025983785231941302	1.81729797115171E-5
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	118	0.14908926845781142	0.23253133514770952	4.440892098500626E-16
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	4	0.2620769754251785	0.7314846912628675	0.008525886090503754
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1802	466.73434646986476	34684.12259937142	4.602836910505559E-7
NP,NP,PP	(0,2,activation)(1,2,activation)	2416	5111.8476731547335	1437164.611174766	0.9952579869669971
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	8.826985329110205	144.35037788847046	5.641653810783964E-11
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	5.771583735073	11.14505035417995	0.9281646787891148
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	66	37.06111294366515	1148.121257921862	0.1722446982658853
PP,UP,PP	(0,2,inhibition)(2,1,activation)	104	79.15884610365691	1381.542784297757	0.22819373577597968
UP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	20	3.017526752730062	19.83142787474119	0.007950564380187486
