Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	4	0.033257738583088114	0.042337035463578976	8.84522477095917E-6
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	3.4653661870604076	37.00935346729618	0.39141719212957815
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	146	221.3484071444035	66270.55421483924	0.4875478245755378
UP,NP,NP	(0,2,inhibition)(2,1,activation)	21789	7751.153713763539	2914140.062193528	2.821075595349498E-10
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2750	2202.9016783732295	3166425.1895811437	0.3132128049872027
UP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	907	101.52630375650665	7542.712452201909	9.157322455877193E-7
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1559	5860.435467601581	1616904.9817319065	0.9999942859414229
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	1.0058405911479829	8.002484010460511	1.3471335158499187E-10
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	14893	16105.00815048512	9.229479261123312E7	0.4896467560317552
PP,PP,UP	(2,1,activation)(2,0,activation)	2455	1827.9336670342018	531524.4414432519	0.18660538321200815
PP,PP,UP	(0,2,activation)(2,1,inhibition)	389	101.85074859931383	5765.327442586156	0.003507421544663436
PP,NP,UP	(0,2,activation)(2,1,activation)	3355	1041.0937120761398	146657.81150088832	5.616740082481364E-6
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	7	71.4108652090204	393.00684066685426	0.9999987441964415
PP,NP,UP	(0,2,activation)(2,1,inhibition)	215	311.1127962219257	46600.278308991605	0.6135991358071222
PP,UP,NP	(0,2,activation)(2,1,activation)	2222	1376.9757277162557	120098.06054436439	0.013726599665018768
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	29	1.640237092907744	13.019983145414999	6.57062310850165E-4
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.0355645720300233	11.222157583661325	0.11471046803320006
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	6	5.045210781875273	68.42732905935972	0.27178760171150074
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	9	9.411096439548464	226.55055415067213	0.3193359893469322
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	767	1313.8805292820962	567301.4867588195	0.744052283921511
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.4432690020175911	20.261348562720926	0.00467198911319755
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	2.2321233878172375	65.34397774643776	0.06413128595292261
UP,NP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	6	451.99135177177703	174167.96027317885	0.8966453090749787
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	21	54.58917277043399	2127.920266076319	0.7266827718010767
